Handle,Title,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Description,Status,Rating
Dazzlingrock-Collection-0.45-Carat-(ctw)-Princess-&-Round-White-Diamond-Stackable-Wedding-Band-Ring-for-Women-in-10K-Gold,Dazzlingrock Collection 0.45 Carat (ctw) Princess & Round White Diamond Stackable Wedding Band Ring for Women in 10K Gold,true,Product details,📋【SPECIFICATIONS】 - 10K Rose Gold 🔹 White Diamond Color: I-J | Clarity: I2-I3 | Creation: Natural | Treatment: Not-treated 🔹 Primary Princess White Diamond(s) Weight: 0.30 Carat 🔹 Round White Diamond(s) Weight: 0.15 Carat 🔹 Total Diamond Weight: 0.45 Carat 🔹 Product Width: 3.40mm (0.13 inch) 🔹 Model Number: DR1470-1503-10R5,Size,"['5,5.5,6,6.5,7,7.5,8,8.5,9']",Shopify,1000,deny,manual,$405.91,TRUE,TRUE,"['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/414Zxv2ZrgL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41T9uibdQVL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41u6MWgrAUL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41-U62Jy4PL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41WSZeuxzdL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/515j9MKp5vL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/91lv5qQnx2L.SS40_PKmb-play-button-overlay-thumb_.png', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",1,"📋【SPECIFICATIONS】 - 10K Rose Gold 🔹 White Diamond Color: I-J | Clarity: I2-I3 | Creation: Natural | Treatment: Not-treated 🔹 Primary Princess White Diamond(s) Weight: 0.30 Carat 🔹 Round White Diamond(s) Weight: 0.15 Carat 🔹 Total Diamond Weight: 0.45 Carat 🔹 Product Width: 3.40mm (0.13 inch) 🔹 Model Number: DR1470-1503-10R5 💎 Diamonds have long been associated with eternity, strength, and enduring love, making them a popular choice for meaningful gifts. They are often given to symbolize lasting love and commitment in relationships. They are cherished for their enduring beauty and symbolism, making them a fitting gift for various important moments in life. Their timeless beauty and durability make them suitable for a variety of special occasions, such as Valentine's Day, anniversaries, Mother's Day, or Christmas. ❗【DISCLAIMER】 - It's important to keep in mind that product photos may not always accurately represent the size or dimensions of an item. This is particularly true when it comes to jewelry or other small items that may appear larger or smaller in photographs than they actually are in reality. ✅【GUARANTEE AND WARRANTY】 - All diamonds used in the jewelry are conflict-free. having a 30-day money-back guarantee is a valuable customer service policy. It allows customers to feel confident in their purchase, knowing that they have the option to return or exchange the product within a specified period if they are not completely satisfied. The 90-day warranty provided for the products further demonstrates the commitment to customer satisfaction and confidence in the quality of the jewelry. ⭐【Customization Requests】 - Product customization requests can be made through Amazon Messages, as indicated. Clearly state your customization request, including any specific details or requirements you have in mind. Remember that the availability and specifics of customization requests may vary depending on the seller, product, and platform policies.",active,4.7
"Dazzlingrock-Collection-Round-White-Diamond-Enhancer-Guard-Wedding-Band-for-Women-(0.25-ctw,-Color-I-J,-Clarity-I2-I3)-in-10K-Gold","Dazzlingrock Collection Round White Diamond Enhancer Guard Wedding Band for Women (0.25 ctw, Color I-J, Clarity I2-I3) in 10K Gold",true,Product details,This stunning wedding band is a piece of jewel that will certainly amaze you which is Crafted in 10K Rose Gold; Round Natural White Diamond Color: I-J & Clarity: I2-I3; Natural White Diamond Carat Total Weight: 0.25 Carat; Product Width: 9.5mm (0.37 Inch); Model Number: DR1510-1452-10R,Size,"['4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10']",Shopify,1000,deny,manual,$316.41,TRUE,TRUE,"['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41ynrMk65NL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41aIAP1lFGL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41lfJFaFzWL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/412CzSB509L._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/515j9MKp5vL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/515j9MKp5vL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/A1-jQ4bc3kL.SS40_PKmb-play-button-overlay-thumb_.png', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",1,"This stunning wedding band is a piece of jewel that will certainly amaze you which is Crafted in 10K Rose Gold; Round Natural White Diamond Color: I-J & Clarity: I2-I3; Natural White Diamond Carat Total Weight: 0.25 Carat; Product Width: 9.5mm (0.37 Inch); Model Number: DR1510-1452-10R Item is smaller than what appears in photo; Photo enlarged to show detail When it comes to giving gifts, there is always an DIAMOND as it means “FOREVER”; So make this the ultimate jewelry gift idea for women, Moms, Fiancé, Sisters and In-laws, Valentine's - Mother's Day or Christmas GUARANTEE: All our Diamonds are conflict free, Our products are backed by incredible customer service and we offer a money back guarantee for 30 days 90 Day Warranty: We stand behind our products; Please read our About us page for more information.",active,4.3
"Enso-Rings-Thin-Birthstone-Silicone-Ring-–-Unisex-Wedding-Engagement-Band-–-Comfortable-Breathable-Band-–-4.3mm-Wide,-1.75mm-Thick","Enso Rings Thin Birthstone Silicone Ring – Unisex Wedding Engagement Band – Comfortable Breathable Band – 4.3mm Wide, 1.75mm Thick",true,Product details,"BIRTHSTONE THIN SILICONE RING: Birthstones accompany a birth month, each having a unique meaning and significance. Our new Birthstone Collection is handcrafted in-house and offers you a variety unlike any other.",Size,"['3,4,5,6,7,8,9,10']",Shopify,1000,deny,manual,$29.99,TRUE,TRUE,"['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/314GRzcCp2L._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41pY9PxQfTL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41x4JkDA6dL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41StirDq3pL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41CHVepyXyL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/417joNMCMGL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51afPTfOsvL._AC_SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",1,"BIRTHSTONE THIN SILICONE RING: Birthstones accompany a birth month, each having a unique meaning and significance. Our new Birthstone Collection is handcrafted in-house and offers you a variety unlike any other. UNISEX WEDDING BAND: This silicone wedding band looks great on men and women, allowing you and your fiancé to purchase a matching set! The thin ring is 4.3mm Wide, 1.75mm Thick. Purchase the same color ring for you and your partner, or complimenting colors. BREATHABLE FLEXIBLE FIT: The Enso Thin Birthstone ring is in a league of its own. Each ring is created with internal breathing channels, making them not only the most luxurious silicone rings but also the most breathable. The unique, flexible design means wearing your ring will be comfortable even if your fingers or hands are prone to swelling. FINGER-SAFE RING: At Enso, we know how active you are, so we have engineered this ring with Anti Ring Avulsion Technology. This ring will break away if your hand gets stuck on fast-moving objects. PREMIUM ENSO SILICONE RING: Enso is the first manufacturer of Premium Silicone Wedding Rings. Buy with confidence knowing that every Enso ring is made in the USA, and each ring includes a lifetime warranty. Our warranty covers rips, breaks, tears, and discoloration. Your first warranty is completely on us.",active,4.5
Tesori-&-Co-10k-Yellow-or-White-or-Rose-Gold-Light-Comfort-Fit-3mm-Wedding-Band,Tesori & Co 10k Yellow or White or Rose Gold Light Comfort Fit 3mm Wedding Band,true,Product details,10k rose gold has a high polish look for timeless style,Size,"['4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11']",Shopify,1000,deny,manual,$5.00,TRUE,TRUE,"['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41UVM-5OVOL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41iQ4U7Sr2L._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41WBC4MTcTL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41ihP4xEpQL._AC_US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",1,"10k rose gold has a high polish look for timeless style Classic, comfort design optimized for daily use 10k gold stamp to guarantee authenticity! Satisfaction guaranteed! Elegant, velvet ring box included with each purchase",active,4.2
"Dazzlingrock-Collection-0.45-Carat-(ctw)-14k-Round-Black-&-White-Diamond-5-Stone-Bridal-Engagement-Ring-Set-1/2-CT,-White-Gold","Dazzlingrock Collection 0.45 Carat (ctw) 14k Round Black & White Diamond 5 Stone Bridal Engagement Ring Set 1/2 CT, White Gold",true,Product details,Other ring sizes may be shipped sooner. Most rings can be resized.,Size,"['5,5.5,6,6.5,7,7.5,8,8.5,9']",Shopify,1000,deny,manual,$345.31,TRUE,TRUE,"['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51wmi+QDv5L._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51wmi+QDv5L._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51wmi+QDv5L._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51F32630-JL._AC_US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",1,"Other ring sizes may be shipped sooner. Most rings can be resized. Items is smaller than what appears in photo. Photo enlarged to show detail Satisfaction Guaranteed. Return or exchange any order within 30 days. All our diamonds are conflict free.. Gemstone : Diamond Dazzlingrock 90 Day Warranty - We stand behind our products. If you lose an accent stone or your setting is damaged during NORMAL wear, we will fix it for FREE. Please read our About us page for more info",active,4.0
"Pandora-Simple-Sparkling-Band-Ring---Stackable-Ring-for-Women,-With-Gift-Box","Pandora Simple Sparkling Band Ring - Stackable Ring for Women, With Gift Box",true,Product details,Classic Eternity Ring: Detailed with shimmering cubic zirconia and looks elegant worn solo or stacked with PANDORA rings in contrasting metal tones,Size,"['4.5,5,6,7,7.5,8.5,9,10,10.5']",Shopify,1000,deny,manual,$55.00,TRUE,TRUE,"['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31DwQYq4NzL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/21d+LP6dRkL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51aNP2TQPHL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41aBrb4jhiL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31+VTx6wKUL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41JPneiu3FL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31BxO2xwuYL._AC_US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",1,"Classic Eternity Ring: Detailed with shimmering cubic zirconia and looks elegant worn solo or stacked with PANDORA rings in contrasting metal tones Pandora Timeless Collection: A timeless, elegant, and versatile collection with sparkling stones as their centerpiece, for those you cherish and those that cherish you Features CZ: Cubic zirconia could be said to be the jewel in Pandora's crown, making up the majority of stones we use in our jewelry because it optically looks like a diamond Pandora Rose: If you're looking for luminosity and a warm glow that's flattering to every skin tone, discover the 14k Rose Gold-Plated Collection featuring our unique metal blend that is plated with a romantic pink-colored 14k rose gold Official PANDORA: This authentic piece of PANDORA jewelry is ready to gift to your loved ones on Mother's Day, Christmas, birthdays, anniversaries, or any special occasions with an official PANDORA gift box",active,1.5
Dazzlingrock-Collection-0.25-Carat-(ctw)-Round-Black-&-White-Diamond-Criss-Cross-Swirl-Wedding-Stackable-Band-for-Women-in-Gold,Dazzlingrock Collection 0.25 Carat (ctw) Round Black & White Diamond Criss Cross Swirl Wedding Stackable Band for Women in Gold,true,Product details,📋【SPECIFICATIONS】 - 10K Rose Gold 🔹 Diamond Color: Black | Clarity: Opaque | Creation: Natural | Treatment: Treated for Color(permanent) 🔹 Natural White Diamond Color: I-J | Clarity: I2-I3 | Treatment: Not-treated 🔹 Round Black Diamond(s) Weight: 0.15 Carat 🔹 Round Natural White Diamond(s) Weight: 0.10 Carat 🔹 Product Width: 2.30mm (0.09 inch) 🔹 Model Number: DR6559-1987-10KR-4,Size,"['4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10']",Shopify,1000,deny,manual,$205.02,TRUE,TRUE,"['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41A3qlvRXAL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41lYHGaIe+L._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31TTtq5hBFL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/318BNnLsQ8L._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31LjPzIne+L._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/515j9MKp5vL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/A1yE7rAUOaL.SS40_PKmb-play-button-overlay-thumb_.png', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",1,"📋【SPECIFICATIONS】 - 10K Rose Gold 🔹 Diamond Color: Black | Clarity: Opaque | Creation: Natural | Treatment: Treated for Color(permanent) 🔹 Natural White Diamond Color: I-J | Clarity: I2-I3 | Treatment: Not-treated 🔹 Round Black Diamond(s) Weight: 0.15 Carat 🔹 Round Natural White Diamond(s) Weight: 0.10 Carat 🔹 Product Width: 2.30mm (0.09 inch) 🔹 Model Number: DR6559-1987-10KR-4 💎 Black Diamonds may have one or two small chips or white spots. The black diamonds in this item are semi-faceted, natural, qualify as rose-cut or diamond accents, are not of gem quality, and contain varying number of facets from 0 to 16. Natural black diamonds are rare. We sell only black diamonds treated with the High Pressure Heat Treatment (HPHT) method, in which diamonds are heated to approximately 1260° C, and the diamonds become black. HPHT treatment is completely safe and permanent. ❗【DISCLAIMER】 - Item(s) are smaller than what appears in photo; Photo enlarged to show detail. Please refer to the scale image under product photos for exact dimensions. ✅【GUARANTEE】 - All our stones are conflict free, our products are backed by incredible customer service and we offer a money back guarantee for 30 days. ⭐【90 DAY WARRANTY】 - We stand behind our products; Please read our 'About us' page for more info. We take product customization requests through Amazon Messages",active,4.3
"Pandora-Jewelry-Band-of-Hearts-Sterling-Silver-Ring,-With-Gift-Box","Pandora Jewelry Band of Hearts Sterling Silver Ring, With Gift Box",true,Product details,"Linked Love: Simple yet elegant, this sterling silver ring is comprised of a series of connected hearts; With beaded details and a meaningful design, it will add a chic expression to every ring stack",Size,"['4.5,6,7']",Shopify,1000,deny,manual,$35.00,TRUE,TRUE,"['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/419vH8Jtj2L._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/21Z46PD+ZKL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51qDghN8BKL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51HRn1MFT3L._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31DnK0GdpsL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41sWa4jYybL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/416sDNGR9EL._AC_US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",1,"Linked Love: Simple yet elegant, this sterling silver ring is comprised of a series of connected hearts; With beaded details and a meaningful design, it will add a chic expression to every ring stack Sterling Silver: The world’s most popular silver alloy, our sterling silver consists of 92.5% silver and 7.5% other metals (such as copper); This blend preserves the color, luster, and weight of silver while improving the durability of your rings Creative Self Expression: Simple enough to match any style, this stackable ring lets you play with your style in a way that is unique to your personality Milestone Celebration: Give this ring to celebrate landmark occasions and commitment; Surprise your loved one on their special day, be it their anniversary, sweet 16 or birthday; Perfect as a promise ring, engagement ring, or wedding ring Official PANDORA: This authentic piece of PANDORA jewelry is ready to gift to your loved ones on Mother's Day, Christmas, birthdays, anniversaries, or any special occasions with an official PANDORA gift box",active,5.0
"Enso-Rings-Stackable-Braided-Silicone-Wedding-Ring-–-Hypoallergenic-Unisex-Stackable-Wedding-Band-–-Comfortable-Minimalist-Band-–-2.5mm-Wide,-8mm-Thick","Enso Rings Stackable Braided Silicone Wedding Ring – Hypoallergenic Unisex Stackable Wedding Band – Comfortable Minimalist Band – 2.5mm Wide, 8mm Thick",true,Product details,STACKABLE BRAIDED SILICONE RING: The original stackable silicone ring! The Braided Stackable started it all and continues to be one of our most popular stackable rings. Enso Stackable Silicone Rings are the perfect way to express your unique personality. The possibilities are endless!,Size,"['4,5,6,7,8,9,10']",Shopify,1000,deny,manual,$14.99,TRUE,TRUE,"['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31JsVBb0trL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41PVoiHiJjL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51AMiAPODqL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51hrTbOSkvL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31Zs5nz4d0L._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/417joNMCMGL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51ITm1dJ+YL.SS40_PKmb-play-button-overlay-thumb_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",1,"STACKABLE BRAIDED SILICONE RING: The original stackable silicone ring! The Braided Stackable started it all and continues to be one of our most popular stackable rings. Enso Stackable Silicone Rings are the perfect way to express your unique personality. The possibilities are endless! STACKABLE BRAIDED WEDDING BAND: This thin, silicone wedding band looks great on men and women, allowing you and your fiancé to purchase a matching set! The ring is 2.5mm Wide, 1.8mm Thick. Purchase the same color ring for you and your partner, or complimenting colors. Show off your personality with the unique pyramid-style stackable ring. COMFORTABLE CONTOUR FIT: The Enso stackable ring is in a league of its own. The unique, flexible design means wearing your ring will be comfortable even if your fingers or hands are prone to swelling. Enso Rings are perfect for the gym, the job, or the outdoors. They go wherever you do. FINGER-SAFE RING: At Enso, we know how active you are, so we have engineered this ring with Anti Ring Avulsion Technology. This ring will break away if your hand gets stuck on fast-moving objects. PREMIUM ENSO SILICONE RING: Enso is the first manufacturer of Premium Silicone Wedding Rings. Buy with confidence knowing that every Enso ring includes a lifetime warranty. Our warranty covers rips, breaks, tears, and discoloration. Your first warranty is completely on us.",active,4.6
"Dazzlingrock-Collection-4x2mm-Baguette-Gemstone-&-Princess-White-Diamond-Wedding-Band-for-Women-(Diamond-0.20-ctw,-Color-I-J,-Clarity-I1-I3)-in-Gold","Dazzlingrock Collection 4x2mm Baguette Gemstone & Princess White Diamond Wedding Band for Women (Diamond 0.20 ctw, Color I-J, Clarity I1-I3) in Gold",true,Product details,📋【SPECIFICATIONS】 - 10K Rose Gold 🔹 Amethyst Color: Purple | Creation: Natural | Treatment: Heat-treated 🔹 White Diamond Color: I-J | Clarity: I2-I3 🔹 4x2mm Baguette Natural Amethyst(s) Weight: 0.36 Carat (approx) 🔹 Princess White Diamond(s) Weight: 0.20 Carat 🔹 Product Width: 2.90mm (0.11 inch) 🔹 Model Number: DR10585-5349-10KR-4,Size,"['4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10']",Shopify,1000,deny,manual,$311.35,TRUE,TRUE,"['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41BaiVk4W0L._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41mwghF3lwL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/516TnwKZHdL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41oIwn+QpbL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/515j9MKp5vL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/515j9MKp5vL._AC_US40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41FJ28S2GkL.SS40_PKmb-play-button-overlay-thumb_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",1,"📋【SPECIFICATIONS】 - 10K Rose Gold 🔹 Amethyst Color: Purple | Creation: Natural | Treatment: Heat-treated 🔹 White Diamond Color: I-J | Clarity: I2-I3 🔹 4x2mm Baguette Natural Amethyst(s) Weight: 0.36 Carat (approx) 🔹 Princess White Diamond(s) Weight: 0.20 Carat 🔹 Product Width: 2.90mm (0.11 inch) 🔹 Model Number: DR10585-5349-10KR-4 💎 Amethyst's purple color is well-known for it's cleansing and calming energy. The crystals represent purification and connection to spiritual and divine beings. The meaning of amethyst is attached to serenity, understanding, trust and grace. ❗【DISCLAIMER】 - Item(s) are smaller than what appears in photo; Photo enlarged to show detail. Please refer to the scale image under product photos for exact dimensions. ✅【GUARANTEE】 - All our stones are conflict free, our products are backed by incredible customer service and we offer a money back guarantee for 30 days. ⭐【90 DAY WARRANTY】 - We stand behind our products; Please read our 'About us' page for more info. We take product customization requests through Amazon Messages",active,4.5
